Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
663,Anderson 2018,The importance of local epidemic conditions in monitoring progress towards HIV epidemic control in Kenya: a modelling study.,Consensus, https://doi.org/10.1002/jia2.25203,2018,The importance of local epidemic conditions in monitoring progress towards HIV epidemic control in Kenya: a modelling study,Kenya,HIV,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution)","",Not reported ,Not reported ,Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"",Calibration results are not reported. ,"",Uncertainty in calibration outputs is not reported.,"",Not reported
586,Beacroft 2019,What impact could DMPA use have had in South Africa and how might its continued use affect the future of the HIV epidemic?,Consensus,https://doi.org/10.1002/jia2.25414,2019,What impact could DMPA use have had in South Africa and how might its continued use affect the future of the HIV epidemic?,South Africa,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Other ",contraceptive use,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",100
574,Estill 2018,The Effect of Monitoring Viral Load and Tracing Patients Lost to Follow-up on the Course of the HIV Epidemic in Malawi: A Mathematical Model.,Consensus,https://doi.org/10.1093/ofid/ofy092,2018,The Effect of Monitoring Viral Load and Tracing Patients Lost to Follow-up on the Course of the HIV Epidemic in Malawi: A Mathematical Model,Malawi,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,Not reported ,Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
544,Jijón 2021,Can HIV epidemics among MSM be eliminated through participation in preexposure prophylaxis rollouts?,Consensus,"https://doi.org/10.1097/QAD.0000000000003012 
",2021,Can HIV epidemics among men who have sex with men be eliminated through participation in PrEP rollouts?,France,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"","Climate (e.g., temperature, humidity, rainfall); Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Sampling importance resampling,Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",500
504,Cepeda 2020,"Modelling integrated antiretroviral treatment and harm reduction services on HIV and overdose among people who inject drugs in Tijuana, Mexico.",Consensus, https://doi.org/10.1002/jia2.25493,2020,"Modelling integrated antiretroviral treatment and harm reduction services on HIV and overdose among people who inject drugs in Tijuana, Mexico",Mexico,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,"",Not reported ,Not reported,No,Data likelihood ,"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","120,000"
482,Doyle 2022,Measuring progress towards reaching zero new HIV acquisitions among key populations in Québec (Canada) using routine surveillance data: a mathematical  modelling study.,Consensus,https://doi.org/10.1002/jia2.25994,2022,Measuring progress towards reaching zero new HIV acquisitions among key populations in Québec (Canada) using routine surveillance data: a mathematical modelling study,Canada,HIV,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"",Notifications / diagnoses; Prevalence; Other ,CD4 cell count at diagnosis,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Broyden–Fletcher–Goldfarb–Shanno algorithm + Nelder–Mead algorithm,Not reported ,R; C++,No,Data likelihood ,"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","50,000"
479,Apenteng 2022,Analysing the impact of migration on HIV/AIDS cases using epidemiological modelling to guide policy makers,Consensus,https://doi.org/10.1016/j.idm.2022.01.002,2022,"Analysing the impact of migration on HIV/AIDS cases using
epidemiological modelling to guide policy makers",Malaysia,HIV,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Not reported,All parameters,Parameters are uncertain.,"",Incidence ,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Least squares estimation,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
419,Johnson 2018,Age bias in survey sampling and implications for estimating HIV prevalence in men who have sex with men: insights from mathematical modelling,Consensus,https://doi.org/10.1017/s0950268818000961,2018,Age bias in survey sampling and implications for estimating HIV prevalence in men who have sex with men: insights from mathematical modelling,South Africa,HIV,Individual-based ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,"",Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",100
375,Adamson 2019,"Competing biomedical HIV prevention strategies: potential cost-effectiveness of HIV vaccines and PrEP in Seattle, WA.",Consensus,https://doi.org/10.1002/jia2.25373,2019,"Competing biomedical HIV prevention strategies: potential cost-effectiveness of HIV vaccines and PrEP in Seattle, WA",USA,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,Monte Carlo filtering,Not reported ,R; C++,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",100
354,Estill 2023,The spatial spread of HIV in Malawi: An individual-based mathematical model.,Consensus,10.1016/j.heliyon.2023.e21948,2023,The spatial spread of HIV in Malawi: An individual-based mathematical model,Malawi,HIV,Individual-based ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Other ",migration rates,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Manual (hand-tuning),"",Link reported and accessible,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
351,Jo 2021,"Model-based Cost-effectiveness of State-level Latent Tuberculosis Interventions in California, Florida, New York, and Texas.",Consensus,https://doi.org/10.1093/cid/ciaa857,2021,"Model-Based Cost-Effectiveness of State-level Latent  Tuberculosis Interventions in California, Florida, New York and Texas",USA,TB,Individual-based ,"",Stochastic model ,Evaluate interventions,"","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ","",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Not reported ,Not reported,No,Other ,"","We then reject simulations that result in a mean TB incidence of >5.2 per 100,000/year (2017 incidence in CA, i.e., no change) or in a mean TB incidence of <2.723 per 100,000/year (which is the mean incidence that would be expected under a 5% annual decline in incidence). ",Sample estimate (multiple parameter sets),"",Calibration results are not reported. ,"",Uncertainty in calibration outputs is not reported.,"",Not reported
329,Apenteng 2020,The impact of implementing HIV prevention policies therapy and control strategy among HIV and AIDS incidence cases in Malaysia,Consensus,https://doi.org/10.1016/j.idm.2020.09.009,2020,"The impact of implementing HIV prevention policies therapy and control strategy among HIV and AIDS incidence cases in
Malaysia",Malaysia,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,All parameters,Not reported ,"",Incidence ; Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,R,Yes,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
326,Goyal 2021,Development of a Mathematical Model to Estimate the Cost-Effectiveness of HRSA's Ryan White HIV/AIDS Program.,Consensus,doi:10.1097/QAI.0000000000002546,2021,Development of a Mathematical Model to Estimate the Cost-Effectiveness of HRSA's Ryan White HIV/AIDS Program,USA,HIV,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Incidence ","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",Not reported
325,Balasubramanian 2022,Projected Impact of Expanded Long-Acting Injectable PrEP Use Among Men Who Have Sex With Men on Local HIV Epidemics.,Consensus,doi:10.1097/QAI.0000000000003029,2022,PROJECTED IMPACT OF EXPANDED LONG-ACTING INJECTABLE PREP USE AMONG MEN WHO HAVE SEX WITH MEN ON LOCAL HIV EPIDEMICS,USA,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Not reported,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",fraction of population screened,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Markov Chain Monte Carlo,"",Link reported and accessible,R,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","","400,000"
287,Beacroft 2019,"The potential impact of a ""curative intervention"" for HIV: a modelling study",Consensus,https://doi.org/10.1186/s41256-019-0107-1,2019,"The potential impact of a “curative
intervention” for HIV: a modelling study",South Africa,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",contraceptive data,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
284,Booton 2021,Modelling the impact of an HIV testing intervention on HIV transmission among men who have sex with men in China.,Consensus,https://doi.org/10.1111/hiv.13063,2021,"Modelling the impact of an HIV testing intervention on HIV
transmission among men who have sex with men in China",China,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Climate (e.g., temperature, humidity, rainfall); Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,"",Not reported ,R,Yes,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",100
72,Elion 2019,Estimated Impact of Targeted Pre-Exposure Prophylaxis: Strategies for Men Who Have Sex with Men in the United States.,Consensus,https://doi.org/10.3390%2Fijerph16091592,2019,Estimated Impact of Targeted Pre-Exposure Prophylaxis: Strategies for Men Who Have Sex with Men in the United States,USA,HIV,Individual-based ,"",Stochastic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Demographic (e.g., population size, sex and age distribution)","",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Not reported,"",Not reported ,Other ,Yes,Not reported,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
21,Nosyk 2018,"The Cost-Effectiveness of Human Immunodeficiency Virus Testing and Treatment Engagement Initiatives in British Columbia, Canada: 2011-2013.",Consensus,https://doi.org/10.1093/cid/cix832,2018,"The Cost-Effectiveness of Human Immunodeficiency Virus Testing and Treatment Engagement Initiatives in British Columbia, Canada: 2011-2013",Canada,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"","Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",size of HIV-negative population,Multiple ,Not reported ,Not reported,Markov Chain Monte Carlo,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
18,Jenness 2019,Addressing Gaps in HIV Preexposure Prophylaxis Care to Reduce Racial Disparities in HIV Incidence in the United States,Consensus,10.1093/aje/kwy230,2018,Addressing Gaps in HIV Preexposure Prophylaxis Care to Reduce Racial Disparities in HIV Incidence in the United States,United States,HIV,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Prevalence,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Approximate Bayesian Computation,"",Link reported and accessible,R; C++,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",500
11,Fojo 2022,Potential Effects of the Coronavirus Disease 2019 (COVID-19) Pandemic on Human Immunodeficiency Virus (HIV) Transmission: A Modeling Study in 32 US Cities.,Consensus,https://doi.org/10.1093/cid/ciab1029,2022,Potential Effects of the Coronavirus Disease 2019 (COVID-19) Pandemic on Human Immunodeficiency Virus (HIV) Transmission: A Modeling Study in 32 US Cities,USA,HIV,Compartmental ,"",Deterministic model ,Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",viral suppression among PWH,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Markov Chain Monte Carlo,"",Link reported and accessible,R,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
