"Covidence..","Study.ID","Title","Reviewer.Name","Study.DOI","Year.published","Full.title","Study.setting","Disease.type..choose.all.that.apply.","Model.type","X.Other..details","Stochasticity.in.model","Scientific.problem.being.solved","How.many.parameters.were.calibrated.","External.beliefs.or.evidence","Choice.of.parameters.to.calibrate","What.justification.was.provided.for.choice.of.parameters.to.calibrate.","X.Other..details.","Type.of.data.used.for.defining.calibration.targets..select.all.that.apply.","X.Other..details..1","How.many.calibration.targets.were.used.for.estimation.","Resolution.of.data..used.for.defining.calibration.targets","Number.of.steps..single.or.sequential.","Name.of.calibration.algorithm","X.Other..details..2","Is.calibration.implementation..code..available.in.an.open.access.repository.","What.programming.language.was.used.for.calibration.","Do.authors.list.any.programming.packages.used.for.calibration.","Goodness.of.fit..GOF..measure.employed.within.calibration.algorithm","If..Not.clear...paste.the.relevant.text.here..","X.Other..details.1","Nature.of.calibration.results","X.Other..details.2","How.are.calibration.results.reported.","X.Other..details..3","How.is.uncertainty.in.calibration.outputs.reported.","X.Other..details..4","What.is.the.size.of.the.calibration.output."
2410,"Portnoy 2023","The cost and cost-effectiveness of novel tuberculosis vaccines in low- and middle-income countries: A modeling study.","Consensus","https://doi.org/10.1371/journal.pmed.1004155",2023,"The cost and cost-effectiveness of novel
tuberculosis vaccines in low- and middle-
income countries: A modeling study","Afghanistan, Angola, Albania, Argentina, Armenia, Azerbaijan, Burundi, Benin, Burkina Faso, Bangladesh, Bulgaria, Belarus, Bolivia, Brazil, Bhutan, Botswana, Central African Republic, China, Côte d'Ivoire, Cameroon, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, Egypt, Eritrea, Ethiopia, Fiji, Gabon, Georgia, Ghana, Guinea, Gambia, Equatorial Guinea, Guatemala, Honduras, Indonesia, India, Iran, Iraq, Jordan, Kazakhstan, Kenya, Kyrgyz Republic, Cambodia, Lao People’s Democratic Republic, Liberia, Libya, Sri Lanka, Lesotho, Morocco, Moldova, Republic of, Madagascar, Maldives, Mexico, Mali, Myanmar, Montenegro, Mongolia, Mozambique, Mauritania, Malawi, Malaysia, Namibia, Niger, Nigeria, Nicaragua, Nepal, Pakistan, Peru, Philippines, Papua New Guinea, Paraguay, Russian Federation, Rwanda, Sudan, Senegal, Solomon Islands, Sierra Leone, El Salvador, Serbia, South Sudan, São Tomé , Principe, Suriname, Swaziland, Syrian Arab Republic, Chad, Togo, Thailand, Tajikistan, Timor-Leste, Tunisia, Turkey, Tanzania, United Republic of, Uganda, Ukraine, Uzbekistan, Venezuela, Vietnam, Vanuatu, Yemen, South Africa, Zambia, Zimbabwe","TB","Not reported","","Not reported","Evaluate interventions","Multiple","Not reported","Not reported","Not reported ","","Demographic (e.g., population size, sex and age distribution); Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Other ","history matching with emulation, ABC-MCMC","Link reported and accessible","R","Yes","Not reported","","","Sample estimate (multiple parameter sets)","","Calibration results are not reported. ",NA,"Uncertainty in calibration outputs is not reported.","","1,000"
2404,"Okell 2023","Projected health impact of post-discharge malaria chemoprevention among children with severe malarial anaemia in Africa.","Consensus","https://doi.org/10.1038/s41467-023-35939-w",2023,"Projected health impact of post-discharge malaria chemoprevention among children with severe malarial anaemia in Africa","","Malaria","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses; Other ","Disease severity","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Markov Chain Monte Carlo","","Link reported and accessible","R","Yes","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10000"
2384,"Mandal 2023","Estimating the Burden of Tuberculosis in India: A Modelling Study.","Consensus","https://doi.org/10.4103/ijcm.ijcm_160_23",2023,"Estimating the Burden of Tuberculosis in India: A Modelling Study","India","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","Mortality","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","250"
2366,"Havumaki 2023","Spatially-targeted tuberculosis screening has limited impact beyond household contact tracing in Lima, Peru: A model-based analysis.","Consensus","https://doi.org/10.1371/journal.pone.0293519",2023,"Spatially-targeted tuberculosis screening has limited impact beyond household contact tracing in Lima, Peru: A model-based analysis","Peru","TB","Individual-based ","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Notifications / diagnoses; Spatial","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","sample-importance-resampling ","Not reported ","R","No","Other ","","we determined if the model performs better than random using a permutation test and second, we compared the global spatial autocorrelation to the data among each resampled parameter set using Global Moran’s I.","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","2,500"
2353,"Altes 2018","Latent tuberculosis infection in foreign-born communities: Import vs. transmission in The Netherlands derived through mathematical modelling.","Consensus","https://doi.org/10.1371/journal.pone.0192282",2018,"Latent tuberculosis infection in foreign-born communities: Import vs. transmission in The Netherlands derived through mathematical modelling.","Netherlands","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Maximum likelihood estimation","","Not reported ","Not reported","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","","1000"
2351,"Kim 2018","Cost-Benefit Analysis of Malaria Chemoprophylaxis and Early Diagnosis for Korean Soldiers in Malaria Risk Regions.","Consensus","https://doi.org/10.3346/jkms.2018.33.e59",2018,"Cost-Benefit Analysis of Malaria Chemoprophylaxis and Early Diagnosis for Korean Soldiers in Malaria Risk Regions","South Korea","Malaria","Compartmental ","","Deterministic model ","Evaluate interventions; Predict disease trends ","Multiple","Not reported","Subset of parameters","Not reported ","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Other ","Ecological: the number of vectors","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Least squares estimation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).",NA,"Uncertainty in calibration outputs is not reported.","","1"
2346,"Abiodun 2018","Modelling the impact of climatic variables on malaria transmission","Consensus",NA,2018,"Modelling the impact of climatic variables on
malaria transmission","South Africa","Malaria","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
2344,"Arregui 2018","Data-driven model for the assessment of Mycobacterium tuberculosis transmission in evolving demographic structures.","Consensus","10.1073/pnas.1720606115",2018,"Data-driven model for the assessment of Mycobacterium tuberculosis transmission in evolving demographic structures","India, Indonesia, Nigeria, Ethiopia","TB","Compartmental ","","Not reported","Assess impact of model assumptions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.","","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other "," Levemberg–Marquard optimization algorithm ","Not reported ","C++","Yes","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
2326,"White 2018","Mathematical modelling of the impact of expanding levels of malaria control interventions on Plasmodium vivax.","Consensus","https://doi.org/10.1371%2Fjournal.pcbi.1011931",2018,"Mathematical modelling of the impact of expanding levels of malaria control interventions on Plasmodium vivax.","Papua New Guinea","Malaria","Individual-based ","","Stochastic model ","Evaluate interventions; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Incidence ; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Link reported and accessible","C++","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100"
2323,"Fu 2018","Modelling the effect of discontinuing universal Bacillus Calmette-Guérin vaccination in an intermediate tuberculosis burden setting.","Consensus","https://doi.org/10.1016/j.vaccine.2018.08.019",2018,"Modelling the effect of discontinuing universal Bacillus Calmette-Guérin vaccination in an intermediate tuberculosis burden setting","Taiwan","TB","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Matlab","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
2315,"Khan 2018","A new fractional model for tuberculosis with relapse via Atangana-Baleanu derivative","Consensus","https://doi.org/10.1016/j.chaos.2018.09.039",2018,"A new fractional model for tuberculosis with relapse via Atangana–Baleanu derivative","Pakistan","TB","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Least squares estimation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
2312,"Yang 2018","EVALUATION OF THE TUBERCULOSIS TRANSMISSION OF DRUG-RESISTANT STRAINS IN MAINLAND CHINA.","Consensus","https://doi.org/10.1142/S0218339018500249",2018,"Evaluation of the tuberculosis transmission of drug-resistant strains in mainland China","China","TB","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Least squares estimation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
